player name,scoring average| rank this week,scoring average| rank last week,scoring average| rounds,scoring average| avg,scoring average| total strokes,scoring average| total adjustment,scoring average| total rounds,driving distance| rank this week,driving distance| rank last week,driving distance| rounds,driving distance| avg.,driving distance| total distance,driving distance| total drives,driving accuracy percentage| rank this week,driving accuracy percentage| rank last week,driving accuracy percentage| rounds,driving accuracy percentage| %,driving accuracy percentage| fairways hit,driving accuracy percentage| possible fairways,greens in regulation percentage| rank this week,greens in regulation percentage| rank last week,greens in regulation percentage| rounds,greens in regulation percentage| %,greens in regulation percentage| greens hit,greens in regulation percentage| # holes,greens in regulation percentage| relative/par,sg: tee-to-green| rank this week,sg: tee-to-green| rank last week,sg: tee-to-green| rounds,sg: tee-to-green| average,sg: tee-to-green| sg:ott,sg: tee-to-green| sg:apr,sg: tee-to-green| sg:arg,sg: tee-to-green| measured rounds,sg: total| rank this week,sg: total| rank last week,sg: total| rounds,sg: total| average,sg: total| total sg:t,sg: total| total sg:t2g,sg: total| total sg:p,sg: total| measured rounds,sg: putting| rank this week,sg: putting| rank last week,sg: putting| rounds,sg: putting| average,sg: putting| total sg:putting,sg: putting| measured rounds,scrambling| rank this week,scrambling| rank last week,scrambling| rounds,scrambling| %,scrambling| par or better,scrambling| missed gir,sg: off-the-tee| rank this week,sg: off-the-tee| rank last week,sg: off-the-tee| rounds,sg: off-the-tee| average,sg: off-the-tee| total sg:ott,sg: off-the-tee| measured rounds,sg: approach the green| rank this week,sg: approach the green| rank last week,sg: approach the green| rounds,sg: approach the green| average,sg: approach the green| total sg:app,sg: approach the green| measured rounds,sg: around-the-green| rank this week,sg: around-the-green| rank last week,sg: around-the-green| rounds,sg: around-the-green| average,sg: around-the-green| total sg:arg,sg: around-the-green| measured rounds
viktor hovland,1,,4,67.853,268,3.412,4,94,,4,302.6,"2,421",8,87,,4,55.77,29,52,20,,4,73.61,53,72,-0.34,,,,,,,,,,,,,,,,,,,,,,,41,,4,68.42,13,19,,,,,,,,,,,,,,,,,,
patrick cantlay,2,2,4,68.004,263,9.015,4,2,2,4,331.4,"2,651",8,2,2,4,78.57,44,56,1,3,4,80.56,58,72,-0.47,32,32,4,.967,1.171,.138,-.341,4,4,4,4,2.997,11.986,3.869,8.116,4,1,1,4,2.029,8.116,4,20,19,4,71.43,10,14,1,1,4,1.171,4.685,4,79,79,4,.138,.551,4,151,151,4,-.341,-1.366,4
tom kim,3,1,8,68.303,534,12.427,8,192,128,8,286.7,"4,587",16,11,5,8,68.52,74,108,9,1,8,76.39,110,144,-0.34,2,2,8,2.233,.314,1.464,.455,4,1,1,8,3.747,14.986,8.933,6.052,4,7,7,8,1.513,6.052,4,8,1,8,76.47,26,34,55,55,8,.314,1.258,4,3,3,8,1.464,5.856,4,26,26,8,.455,1.820,4
xander schauffele,4,,4,68.353,270,3.412,4,156,,4,291.9,"2,335",8,108,,4,53.85,28,52,42,,4,72.22,52,72,-0.29,,,,,,,,,,,,,,,,,,,,,,,3,,4,80.00,16,20,,,,,,,,,,,,,,,,,,
keegan bradley,5,14,8,68.439,540,7.509,8,122,111,8,298.3,"4,772",16,70,83,8,57.41,62,108,42,115,8,72.22,104,144,-0.41,49,49,8,.691,.844,.439,-.592,4,9,9,8,2.226,8.903,2.763,6.141,4,5,5,8,1.535,6.141,4,84,117,8,62.50,25,40,10,10,8,.844,3.375,4,53,53,8,.439,1.756,4,171,171,8,-.592,-2.369,4
danny willett,6,7,4,68.798,273,2.191,4,145,150,4,293.8,"2,350",8,194,168,4,44.64,25,56,20,25,4,73.61,53,72,-0.32,5,5,4,1.964,.511,1.185,.267,4,3,3,4,3.202,12.806,7.855,4.951,4,11,11,4,1.238,4.951,4,1,2,4,89.47,17,19,36,36,4,.511,2.045,4,8,8,4,1.185,4.741,4,50,50,4,.267,1.068,4
satoshi kodaira,7,,4,68.853,272,3.412,4,216,,4,275.8,"2,206",8,20,,4,65.38,34,52,20,,4,73.61,53,72,-0.17,,,,,,,,,,,,,,,,,,,,,,,1,,4,89.47,17,19,,,,,,,,,,,,,,,,,,
tom hoge,8,9,12,68.968,813,14.618,12,119,89,12,298.7,"7,168",24,41,36,12,61.59,101,164,13,17,12,75.46,163,216,-0.34,9,9,12,1.604,.533,1.405,-.334,8,10,10,12,2.224,17.792,12.832,4.960,8,35,35,12,.620,4.960,8,54,85,12,66.04,35,53,31,31,12,.533,4.263,8,4,4,12,1.405,11.239,8,150,150,12,-.334,-2.670,8
sungjae im,9,4,8,69.053,540,12.427,8,97,25,8,302.4,"4,838",16,57,22,8,59.26,64,108,54,13,8,71.53,103,144,-0.36,4,4,8,2.008,.806,.859,.342,4,6,6,8,2.497,9.986,8.031,1.954,4,46,46,8,.489,1.954,4,26,8,8,70.73,29,41,11,11,8,.806,3.226,4,20,20,8,.859,3.437,4,39,39,8,.342,1.369,4
rickie fowler,10,26,10,69.140,683,8.396,10,105,64,10,300.7,"6,013",20,95,108,10,55.15,75,136,12,17,10,75.56,136,180,-0.33,35,35,10,.903,.014,.724,.165,6,21,21,10,1.336,8.013,5.415,2.598,6,53,53,10,.433,2.598,6,75,107,10,63.64,28,44,98,98,10,.014,.085,6,30,30,10,.724,4.341,6,68,68,10,.165,.988,6
max homa,11,8,8,69.151,542,11.206,8,39,46,8,311.9,"4,990",16,17,15,8,66.07,74,112,42,37,8,72.22,104,144,-0.38,10,10,8,1.595,.664,.452,.478,8,7,7,8,2.349,18.792,12.757,6.035,8,23,23,8,.754,6.035,8,9,10,8,75.00,30,40,22,22,8,.664,5.315,8,51,51,8,.452,3.614,8,25,25,8,.478,3.828,8
mito pereira,12,3,8,69.303,542,12.427,8,29,4,8,313.7,"5,019",16,136,41,8,51.85,56,108,20,2,8,73.61,106,144,-0.34,1,1,8,2.436,-.114,2.278,.272,4,5,5,8,2.747,10.986,9.742,1.243,4,73,73,8,.311,1.243,4,83,29,8,63.16,24,38,117,117,8,-.114,-.456,4,1,1,8,2.278,9.111,4,49,49,8,.272,1.088,4
matthew nesmith,13,17,14,69.446,955,17.250,14,130,121,14,296.6,"8,306",28,83,64,14,56.25,108,192,8,17,14,76.59,193,252,-0.34,26,26,14,1.175,.295,.871,.009,10,16,16,14,1.716,17.160,11.750,5.410,10,41,41,14,.541,5.410,10,158,94,14,55.93,33,59,58,58,14,.295,2.950,10,18,18,14,.871,8.706,10,99,99,14,.009,.093,10
brian harman,14,10,4,69.504,269,9.015,4,33,43,4,312.6,"2,501",8,13,10,4,67.86,38,56,1,3,4,80.56,58,72,-0.31,22,22,4,1.213,.521,.742,-.050,4,19,19,4,1.497,5.986,4.853,1.132,4,78,78,4,.283,1.132,4,5,4,4,78.57,11,14,33,33,4,.521,2.083,4,28,28,4,.742,2.970,4,107,107,4,-.050,-.199,4
maverick mcnealy,15,19,10,69.515,682,13.153,10,75,14,10,306.4,"6,128",20,79,51,10,56.62,77,136,92,51,10,68.89,124,180,-0.37,138,138,10,-.565,.005,-.266,-.304,6,27,27,10,1.210,7.257,-3.390,10.646,6,4,4,10,1.774,10.646,6,20,22,10,71.43,40,56,100,100,10,.005,.030,6,126,126,10,-.266,-1.595,6,147,147,10,-.304,-1.824,6
